model,layer,d_model,norm_w0,norm_w1,norm_diff,norm_w1_over_init,norm_sum,init_over_w1,cos_w1_diff,cos_w0_w1,frac_w1_along_diff,bias_diff
deepseek_qwen,31,5120,1.3106745481491089,1.3196427822113037,2.5003483295440674,2.2856883466315288,0.8166436553001404,0.3094184398651123,0.9509327411651611,-0.8072333931922913,0.9042729139328003,-0.011259791441261768
deepseek_qwen,32,5120,1.4172946214675903,1.4235951900482178,2.7209906578063965,2.465739198574185,0.8166437745094299,0.28682443499565125,0.9579858779907227,-0.8347418904304504,0.9177370667457581,-0.011270915158092976
deepseek_qwen,33,5120,1.5290356874465942,1.5316176414489746,2.9496946334838867,2.652839572758436,0.8166437745094299,0.26659518480300903,0.9638088941574097,-0.8576153516769409,0.9289277791976929,-0.011861222796142101
deepseek_qwen,34,5120,1.6198863983154297,1.6177740097045898,3.132976531982422,2.8020667799727756,0.8166437745094299,0.252397358417511,0.9676240086555481,-0.8727583289146423,0.936296284198761,-0.011744317598640919
deepseek_qwen,35,5120,1.6130989789962769,1.6091285943984985,3.117027521133423,2.787092481410092,0.8166437745094299,0.2537534236907959,0.9672700762748718,-0.8715386986732483,0.935611367225647,-0.01209524367004633
deepseek_qwen,36,5120,1.7171745300292969,1.7180670499801636,3.336761474609375,2.9757794213756212,0.8166438937187195,0.23766356706619263,0.9713476300239563,-0.8869735598564148,0.9435162544250488,-0.012582654133439064
deepseek_qwen,37,5120,1.7580124139785767,1.7598650455474854,3.4217770099639893,3.048175673352761,0.8166438937187195,0.23201890289783478,0.9727113842964172,-0.8922214508056641,0.9461672306060791,-0.012387209571897984
deepseek_qwen,38,5120,1.8949315547943115,1.8961825370788574,3.702113628387451,3.284284494645438,0.8166436553001404,0.21533888578414917,0.9765392541885376,-0.9071973562240601,0.9536291360855103,-0.012133694253861904
deepseek_qwen,39,5120,1.9445788860321045,1.9460914134979248,3.803999185562134,3.370729204351939,0.8166438937187195,0.20981642603874207,0.9777409434318542,-0.9118859171867371,0.9559774994850159,-0.012047883123159409
deepseek_qwen,40,5120,2.2509684562683105,2.249427556991577,4.4256815910339355,3.896122816654948,0.8166438937187195,0.18152260780334473,0.983386754989624,-0.9341443777084351,0.9670494198799133,-0.01217537559568882
deepseek_qwen,41,5120,2.384246349334717,2.3853514194488525,4.699166297912598,4.131549852391953,0.8166439533233643,0.17117896676063538,0.9852399826049805,-0.9413686394691467,0.9706980586051941,-0.011183405295014381
deepseek_qwen,42,5120,2.506096124649048,2.508254051208496,4.947403907775879,4.344423454983584,0.8166438937187195,0.16279129683971405,0.9866606593132019,-0.946952760219574,0.9734990000724792,-0.010183542966842651
deepseek_qwen,43,5120,2.813380241394043,2.8136484622955322,5.567454814910889,4.873382091333907,0.8166437745094299,0.14512185752391815,0.9894137978553772,-0.9578754901885986,0.9789395928382874,-0.011570904403924942
deepseek_qwen,44,5120,2.984920024871826,2.982658624649048,5.911437511444092,5.16611627952566,0.8166437745094299,0.13689863681793213,0.990585207939148,-0.9625462889671326,0.9812591671943665,-0.011539315804839134
