model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,deduction,density_testlex,0.5158887591088787,0.3217085525711254,0.7189564504166893
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,adding-knowledge,density,-0.3682147547775689,-0.6612054862894976,-0.08230760234135794
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,adding-knowledge,density_nontest,-0.3845064287101399,-0.6861183036795234,-0.0902688209350613
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,adding-knowledge,density_testlex,0.016291673932570968,-0.025784045030640176,0.0561040959799272
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,example-testing,density,0.1912276587796989,0.0983808612291515,0.3014348610667581
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,example-testing,density_nontest,0.1288075836938688,0.050379050039712645,0.21788785790244053
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,example-testing,density_testlex,0.062420075085830105,0.01688903901368012,0.11956701057680917
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,uncertainty-estimation,density,-0.5484490735261425,-0.7830221469764704,-0.3283096205910246
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,uncertainty-estimation,density_nontest,-0.6380790408729505,-0.8576354864607533,-0.4277938731206698
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,uncertainty-estimation,density_testlex,0.08962996734680796,0.027184717702490657,0.1627804925491052
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,backtracking,density,-0.047173791699068005,-0.1281619494738287,0.029223127909028885
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,backtracking,density_nontest,-0.05865352996103563,-0.1367612014261481,0.012885868316772678
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,gained,31,backtracking,density_testlex,0.011479738261967628,0.0,0.03443921478590289
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,initializing,density,0.04464548241216271,-0.06882178933435164,0.15339162565014938
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,initializing,density_nontest,0.0305499660677708,-0.08723474357315689,0.14370116405755434
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,initializing,density_testlex,0.014095516344391905,0.0,0.036520201437742664
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,comply_both,29,deduction,density,-0.3923139923188645,-0.8664858495414788,0.11650017386598077
