model,family,framing,arm,signed_alpha,n,metric,behaviour,mean,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,repetition_4gram,,0.003810026030576745,0.002908495531705231,0.004726780315065982
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,executed,,0.16778523489932887,0.1139261744966443,0.22835570469798566
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,density,initializing,0.6090720754987519,0.5672390604659612,0.6528360461423831
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,density,deduction,4.121488145204392,3.992021377491396,4.25431569470377
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,density,adding-knowledge,1.586306161787115,1.4940263714702426,1.683676799387852
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,density,example-testing,0.09047156271262036,0.05926330708291486,0.126037940131511
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,density,uncertainty-estimation,0.7287117759202693,0.654615443590384,0.8064062656190508
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,density,backtracking,0.1313856338059794,0.0906071696801923,0.1791996707330131
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,coverage,initializing,0.12632782741821358,0.12025968700734072,0.13269118996513993
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,coverage,deduction,0.5274872279807319,0.511859223015414,0.542752603975827
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,coverage,adding-knowledge,0.2293552733189165,0.21521990348916142,0.2441839122042819
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,coverage,example-testing,0.014155890830140062,0.008966175973618857,0.020153693100495102
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,coverage,uncertainty-estimation,0.08614249365424333,0.07603704435533155,0.09684756236781619
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,coverage,backtracking,0.01653128679775457,0.01136464263255053,0.022049749991875926
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,any,example-testing,0.18120805369127516,0.12080536912751678,0.2483221476510067
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,any,uncertainty-estimation,0.8456375838926175,0.785234899328859,0.8993288590604027
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,any,backtracking,0.2751677852348993,0.2080536912751678,0.3422818791946309
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,words,,254.41610738255034,242.46946308724833,266.13422818791946
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,n_spans_counted,,18.288590604026847,17.476342281879194,19.09412751677852
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,repetition_4gram,,0.004446504502150326,0.003427254179475755,0.005604305049877318
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,executed,,0.15436241610738255,0.10067114093959731,0.21476510067114093
deepseek_qwen,actions,real,alpha0.0,0.0,149,density,initializing,0.5869126373666699,0.5458114601313601,0.6295287663947471
deepseek_qwen,actions,real,alpha0.0,0.0,149,density,deduction,4.015496388730188,3.8764133787927384,4.144356065014388
deepseek_qwen,actions,real,alpha0.0,0.0,149,density,adding-knowledge,1.7614293219470705,1.6508467991151377,1.8691607426567947
deepseek_qwen,actions,real,alpha0.0,0.0,149,density,example-testing,0.06679005832383304,0.041193380281074096,0.09385298202508331
deepseek_qwen,actions,real,alpha0.0,0.0,149,density,uncertainty-estimation,0.6741833595141186,0.5920267738098386,0.7569409762061695
deepseek_qwen,actions,real,alpha0.0,0.0,149,density,backtracking,0.1042419419370657,0.07051392771686874,0.1428330387673638
deepseek_qwen,actions,real,alpha0.0,0.0,149,coverage,initializing,0.12689537569560239,0.12034605908257143,0.13364898592463154
deepseek_qwen,actions,real,alpha0.0,0.0,149,coverage,deduction,0.5241009514261743,0.5082050030511199,0.5387774836759875
deepseek_qwen,actions,real,alpha0.0,0.0,149,coverage,adding-knowledge,0.2531203863707629,0.23815221353254962,0.268047859344678
deepseek_qwen,actions,real,alpha0.0,0.0,149,coverage,example-testing,0.010654587334144948,0.006524322564785746,0.01537469399597656
deepseek_qwen,actions,real,alpha0.0,0.0,149,coverage,uncertainty-estimation,0.07104676222341585,0.06114634029757699,0.08089661978792172
deepseek_qwen,actions,real,alpha0.0,0.0,149,coverage,backtracking,0.01418193694989969,0.00944765532933421,0.019758483016272487
deepseek_qwen,actions,real,alpha0.0,0.0,149,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.0,0.0,149,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.0,0.0,149,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.0,0.0,149,any,example-testing,0.15436241610738255,0.10067114093959731,0.21476510067114093
deepseek_qwen,actions,real,alpha0.0,0.0,149,any,uncertainty-estimation,0.7919463087248322,0.7248322147651006,0.8525167785234891
deepseek_qwen,actions,real,alpha0.0,0.0,149,any,backtracking,0.21476510067114093,0.1476510067114094,0.28187919463087246
deepseek_qwen,actions,real,alpha0.0,0.0,149,words,,243.6778523489933,231.61543624161072,256.1615771812081
deepseek_qwen,actions,real,alpha0.0,0.0,149,n_spans_counted,,17.29530201342282,16.456375838926174,18.10771812080537
deepseek_qwen,actions,real,alpha0.0,0.0,149,repetition_4gram,,0.0037176985143378247,0.0026982761917176065,0.004854142851709391
