model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,any,uncertainty-estimation,0.8333333333333334,0.8833333333333333,0.05,-0.05,0.15,0.3213942797694449,0.5078125
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,any,backtracking,0.6166666666666667,0.4,-0.21666666666666667,-0.38333333333333336,-0.05,0.01112104600507165,0.012354585017871936
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_testlex,initializing,0.021797645081868957,0.016284907732659365,-0.005512737349209594,-0.029633665248094933,0.014156067899168422,0.6310036281118145,1.0
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_testlex,deduction,0.24446384768271992,0.2734147804878779,0.028950932805157963,-0.05906342987561756,0.12084495204401312,0.5406731435862417,0.831822814353643
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_testlex,adding-knowledge,0.10654117062270863,0.08111113760001472,-0.025430033022693897,-0.07412237631372978,0.02860785754323542,0.3403804223113578,0.38615737365543756
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_testlex,example-testing,0.03741437766807772,0.020091724746219963,-0.017322652921857754,-0.040915021202743186,0.002568009853662569,0.1269651742119996,0.130859375
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_testlex,uncertainty-estimation,0.08113290678209761,0.18027643341348076,0.09914352663138314,0.028261079459785853,0.17545095822046677,0.008937440274587323,0.017996261394266532
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_testlex,backtracking,0.0332215537733479,0.024799666712307853,-0.008421887061040056,-0.03419168547387961,0.017454216234987403,0.5202398615837064,0.587890625
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_nontest,initializing,0.42218557050560107,0.30680925381543617,-0.11537631669016496,-0.19217073724838737,-0.037980718846387936,0.00395617699735105,0.006145502335756402
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_nontest,deduction,3.497809719745406,3.1701526071834434,-0.32765711256196217,-0.7124133314102357,0.05191008398614915,0.09368017224928188,0.13315729045791624
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_nontest,adding-knowledge,1.2179848417950199,0.879536693197854,-0.33844814859716604,-0.5493461672138384,-0.13139813811210738,0.0028012118424218936,0.0017124416457849642
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_nontest,example-testing,0.5762888759412419,0.9837646506604828,0.40747577471924096,0.17193418118666803,0.6497226036272878,0.0015666071328396703,0.005370633528928203
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_nontest,uncertainty-estimation,0.45578332266339144,0.6678552801795739,0.21207195751618238,0.06294660304569889,0.35512654172559677,0.004810038707216596,0.002704051384140554
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,density_nontest,backtracking,0.13706592803705814,0.11273252746431672,-0.02433340057274141,-0.0752692057645054,0.031159213771273807,0.38256399218070464,0.1326350391318556
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,words,,513.2833333333333,639.2,125.91666666666667,76.87416666666667,178.97958333333327,1.2287369258682306e-05,2.4087631029617216e-05
qwen3_4b,followup_triggers,hypothetical,unc_all_pos,0.25,60,n_spans_counted,,35.25,43.95,8.7,4.732916666666667,12.866666666666667,0.00010717446886251718,0.00011561785536348322
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density,initializing,0.44398321558747006,0.4777339222690015,0.033750706681531364,-0.0894725517351363,0.15571215816033662,0.5890309116405157,0.8366933614626818
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density,deduction,3.7422735674281262,4.049536917488049,0.3072633500599226,-0.041313431316456733,0.6380416654724083,0.08184592717371807,0.0890312232637884
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density,adding-knowledge,1.3245260124177285,1.2622096791826798,-0.062316333235048774,-0.30627327764830614,0.19716562645416677,0.6435919592782997,0.3415815465480978
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density,example-testing,0.6137032536093195,0.3320836521286644,-0.28161960148065507,-0.4409728598885931,-0.1254219805465919,0.0007167239696952892,0.0016308383222393393
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density,uncertainty-estimation,0.5369162294454891,0.3117980721089338,-0.22511815733655532,-0.35300509409936787,-0.108477677121796,0.0007161356660182082,0.0005198759371315486
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density,backtracking,0.17028748181040604,0.1714490632765203,0.0011615814661142605,-0.06420888557258034,0.07266344371437873,0.9734042603166652,0.7618697223099105
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,coverage,initializing,0.09250519899682556,0.11380127987512087,0.021296080878295282,0.004735968151561467,0.03742689675602083,0.016601302106774973,0.014822355953141709
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,coverage,deduction,0.5206158801561669,0.5589244239469299,0.038308543790763,-0.004483497530097595,0.0784147604199801,0.07182224360675549,0.03998660684882879
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,coverage,adding-knowledge,0.19210841862571157,0.20196136316640417,0.009852944540692552,-0.02867391839826797,0.05015390582918442,0.637696683490898,0.975914005341583
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,coverage,example-testing,0.09285868748446777,0.0557480698439514,-0.03711061764051637,-0.06073331544899605,-0.014792872342764541,0.0022467747900298406,0.004626518428580522
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,coverage,uncertainty-estimation,0.07590172237249357,0.04421348687572672,-0.031688235496766866,-0.049795161174991366,-0.014466980491460007,0.0008139716496454213,0.000664339879517823
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,coverage,backtracking,0.026010092364334634,0.02535137629186702,-0.0006587160724676148,-0.01122308973241572,0.01100107669676023,0.9092016583583357,0.6571383741117813
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,any,adding-knowledge,0.9666666666666667,0.95,-0.016666666666666666,-0.06666666666666667,0.03333333333333333,0.5680718717230764,
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,any,example-testing,0.7666666666666667,0.65,-0.11666666666666667,-0.2833333333333333,0.05,0.16334026999215057,0.16151331846754213
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,any,uncertainty-estimation,0.8333333333333334,0.55,-0.2833333333333333,-0.4166666666666667,-0.15,0.0002088602535769697,0.0003929930264148809
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,any,backtracking,0.6166666666666667,0.48333333333333334,-0.13333333333333333,-0.3,0.03333333333333333,0.11746628301183669,0.11666446478102344
qwen3_4b,followup_triggers,hypothetical,unc_nontest_neg,-0.25,60,density_testlex,initializing,0.021797645081868957,0.02633785980931778,0.004540214727448823,-0.0096282413689744,0.020055289695829724,0.5605880632310885,0.6875
