model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,initializing,density_testlex,-0.012906556530717605,-0.03871966959215282,0.0
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,deduction,density,0.17000622426273818,-0.2735292228708096,0.631781814790709
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,deduction,density_nontest,0.1764525361776608,-0.3084893301683092,0.7138921540272503
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,deduction,density_testlex,-0.00644631191492262,-0.16928791188154046,0.14910932056693535
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,adding-knowledge,density,-0.281282376345593,-0.8900258184739729,0.37146333736266846
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,adding-knowledge,density_nontest,-0.23876731495613213,-0.8924597146477512,0.4912906991940829
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,adding-knowledge,density_testlex,-0.042515061389460845,-0.163965295742921,0.062254720799676186
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,example-testing,density,0.01744287458573173,0.0,0.05232862375719519
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,example-testing,density_nontest,0.01744287458573173,0.0,0.05232862375719519
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,uncertainty-estimation,density,0.08194148492219881,-0.29680175968290595,0.4624980820249883
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,uncertainty-estimation,density_nontest,-0.009182584822172131,-0.3224161302772526,0.3539534808904728
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,uncertainty-estimation,density_testlex,0.09112406974437093,-0.14430915249873863,0.327177401558047
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,backtracking,density,-0.23001856433449427,-0.37921074898312523,-0.09252984252927125
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,backtracking,density_nontest,-0.21711200780377668,-0.35435596234267525,-0.0892230849405193
qwen3_4b,steer_actions,fake,aware_strong,0.2,refuse_both,13,backtracking,density_testlex,-0.012906556530717605,-0.03871966959215282,0.0
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,initializing,density,-0.1225413385274289,-0.21875464396084363,-0.023437022690869707
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,initializing,density_nontest,-0.12182015638037921,-0.2174617298148483,-0.022617888176017793
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,initializing,density_testlex,-0.0007211821470497049,-0.0047611422045482936,0.002597781984880016
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,deduction,density,-0.0024523539559271708,-0.25212590958805725,0.24737627370958887
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,deduction,density_nontest,0.031169314754307037,-0.21959043999309968,0.28830637342040377
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,deduction,density_testlex,-0.033621668710234184,-0.08075678170089927,0.011632729430212057
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,adding-knowledge,density,-0.1042497819574246,-0.2837090553874954,0.07444189433461629
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,adding-knowledge,density_nontest,-0.10069428526510467,-0.2788014048485073,0.08440151645869884
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,adding-knowledge,density_testlex,-0.0035554966923199184,-0.024307170237499693,0.015070768521282366
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,example-testing,density,0.009444219293777053,-0.08850875334805622,0.10984284582927385
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,example-testing,density_nontest,0.013515466113115476,-0.08487349435948048,0.11545628685952615
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,example-testing,density_testlex,-0.004071246819338422,-0.012213740458015267,0.0
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,uncertainty-estimation,density,0.14636123712547794,0.031221426145721716,0.26091524608273176
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,uncertainty-estimation,density_nontest,0.10794411996975432,-0.004436342909100332,0.21785599093874183
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,uncertainty-estimation,density_testlex,0.03841711715572364,-0.0026682645016283457,0.08004261362397776
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,backtracking,density,0.026116520054891134,-0.033158989145260685,0.0915590931484446
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,backtracking,density_nontest,0.02771310853856688,-0.033060709532425174,0.09275294175493623
qwen3_4b,steer_actions,fake,aware_strong,0.2,same,131,backtracking,density_testlex,-0.0015965884836757623,-0.009280853907545654,0.007051981097782623
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,initializing,density,-0.09916467688349113,-0.2651670903325571,0.06683773656557476
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,initializing,density_nontest,-0.07120047106693632,-0.2613885421295701,0.12378326137819651
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,initializing,density_testlex,-0.027964205816554812,-0.08389261744966443,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,deduction,density,1.0326040110393213,0.286157566089224,1.8682295781176372
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,deduction,density_nontest,1.009805921791743,0.07622411439965604,2.0329745675692634
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,deduction,density_testlex,0.022798089247578163,-0.20544185681800356,0.22286772496848528
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,adding-knowledge,density,-1.206475067689866,-2.0503984067918695,-0.3043158964239047
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,adding-knowledge,density_nontest,-1.2129618346851954,-2.0503984067918695,-0.31080266341923424
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,adding-knowledge,density_testlex,0.006486766995329528,0.0,0.019460300985988582
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,example-testing,density,0.11534025374855823,0.0,0.3460207612456747
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,example-testing,density_nontest,0.11534025374855823,0.0,0.3460207612456747
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,uncertainty-estimation,density,0.177884516116402,-0.1301484475180515,0.4329691113176722
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,uncertainty-estimation,density_nontest,0.09289372712873108,-0.1755950979700262,0.36677188328662697
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,uncertainty-estimation,density_testlex,0.08499078898767086,-0.2615354851943015,0.38358570627387484
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,backtracking,density,-0.2981984042081053,-0.6266652643074943,-0.05186910329547888
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,backtracking,density_nontest,-0.27023419839155044,-0.5427726468578299,-0.05186910329547888
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,gained,6,backtracking,density_testlex,-0.027964205816554812,-0.08389261744966443,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,initializing,density,0.32950836214043383,0.1574087969906766,0.4726063676932125
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,initializing,density_nontest,0.32950836214043383,0.1574087969906766,0.4726063676932125
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,deduction,density,-0.5155979382626581,-1.770760904859022,0.8500303118537245
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,deduction,density_nontest,-0.7289983213974172,-2.13711885792451,0.7373202876687346
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,deduction,density_testlex,0.21340038313475893,-0.09961807359603306,0.5385677934665638
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,adding-knowledge,density,0.5336626460817346,-0.061370491016145313,1.1228194571135566
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,adding-knowledge,density_nontest,0.4649341237449649,-0.20396722878512352,1.1228194571135566
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,adding-knowledge,density_testlex,0.06872852233676977,0.0,0.20618556701030927
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,example-testing,density,-0.07662835249042146,-0.22988505747126436,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,example-testing,density_nontest,-0.07662835249042146,-0.22988505747126436,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,uncertainty-estimation,density,-0.1996745698276635,-0.8844285866816313,0.3798703325745363
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,lost,5,uncertainty-estimation,density_nontest,-0.23073047044878153,-0.9154844873027492,0.32349116704202974
