arm,framing,projection,n_pairs,base_mean,delta,ci_lo,ci_hi
unc_testlex_neg,hypothetical,proj_incontext_uncertainty-estimation,60,10.649153288205465,-4.037380413214366,-4.842148842314879,-3.2309575577576957
unc_testlex_neg,hypothetical,proj_incontext_probe,60,-3.7888984103997547,-1.5096618076165518,-1.7987149097025394,-1.2332541179656986
unc_testlex_pos,real,proj_probe,60,-3.4419386804103853,0.24114228487014772,-0.10271895602345466,0.6162366024156412
unc_testlex_pos,real,proj_lastprompt_backtracking,60,8.786149096488952,3.4297834793726603,3.3080966693162916,3.535511311292648
unc_testlex_pos,real,proj_lastprompt_uncertainty-estimation,60,11.553783623377482,3.136563777923584,3.13554678718249,3.137621570030848
unc_testlex_pos,real,proj_lastprompt_probe,60,-2.4264470914999645,1.4129763960838317,1.372060677781701,1.4553642054150502
unc_testlex_pos,real,proj_incontext_backtracking,60,20.834461228052774,6.800969139734904,6.26600483695666,7.30458613316218
unc_testlex_pos,real,proj_incontext_uncertainty-estimation,60,10.338428846995036,3.9202275117238363,3.2572134405374524,4.564980996847153
unc_testlex_pos,real,proj_incontext_probe,60,-3.4669198110699653,1.5006915765504043,1.1876823392262061,1.838071766061087
unc_testlex_pos,hypothetical,proj_probe,60,-3.8292088707288108,0.35679137806097666,0.018582434803247453,0.6937077360600232
unc_testlex_pos,hypothetical,proj_lastprompt_backtracking,60,8.975202639897665,3.2306761105855304,3.084688511689504,3.359325880408287
unc_testlex_pos,hypothetical,proj_lastprompt_uncertainty-estimation,60,11.429842456181843,3.1356472333272296,3.1344976659615833,3.1367870227495827
unc_testlex_pos,hypothetical,proj_lastprompt_probe,60,-2.58591870367527,1.4007529646158219,1.3594513138383626,1.4428515833616256
unc_testlex_pos,hypothetical,proj_incontext_backtracking,60,20.33639783859253,6.613081582387289,6.164801390171051,7.069923762480418
unc_testlex_pos,hypothetical,proj_incontext_uncertainty-estimation,60,10.649153288205465,3.3760991017023723,2.6894622816642126,4.016534022490183
unc_testlex_pos,hypothetical,proj_incontext_probe,60,-3.7888984103997547,1.5571553645655514,1.2237870416091756,1.8981797008216381
